Centro;Emplazamiento;Denominación
1000;0001;PUCE SEDE QUITO
1000;Q010000001;CON.SUP SECRETARIO CONSEJO SUPERIO 326
1000;Q010000002;CON.SUP SALA DE ESPERAS
1000;Q010000003;CON.SUP SALA DE CONSEJO OFC. 328
1000;Q010000006;CON.SUP SALA DE DIRECTIVOS NO. 325
1000;Q010000007;CON.SUP PASILLOS Y HALLS
1000;Q010000008;CON.SUP BODEGA
1000;Q010100001;AUD. INTERNACOM.ETICA INV.327
1000;Q010100003;AUD. INTERNA SALA DE REUNIONES
1000;Q010100004;AUD. INTERNA SALA DE ESPERA
1000;Q010100005;AUD. INTERNA PASILLOS Y HALLS
1000;Q020000001;CONSEJO ACADÉMICO SALA DE REUNIONES
1000;Q030000001;RECTORADO DIRECCIÓN
1000;Q030000002;RECTORADO SALA DE ESPERA RECTORADO
1000;Q030000003;RECTORADO SECRETARÍA DEL RECTORADO
1000;Q030000004;RECTORADO SALA DE REUNIONES
1000;Q030000005;RECTORADO SALA DE ESPERA SECRETARÍA
1000;Q030000006;RECTORADO OFICINA 229
1000;Q030100001;ASE.LEGAL OFICINA ASESOR LEGAL
1000;Q030100002;ASE.LEGAL SALA DE SESIONES
1000;Q030200001;CENTRO CULTURAL DIRECCIÓN
1000;Q030200002;CENTRO CULTURAL SECRETARIA
1000;Q030200003;CENTRO CULTURAL BODEGA ADMIN.
1000;Q030200004;CENTRO CULTURAL OFICINA DE CONGRESOS
1000;Q030200005;CENTRO CULTURAL OFICINA DEL AUDITORIO
1000;Q030200006;CENTRO CULTURAL AUDITORIO
1000;Q030200007;CENTRO CULTURAL AULA CORO
1000;Q030200008;CENTRO CULTURAL TEATRO
1000;Q030200009;CENTRO CULTURAL BODEGA
1000;Q030200010;CENTRO CULTURAL TALLER CERÁMICA
1000;Q030200011;CENTRO CULTURAL PASILLOS Y HALLS
1000;Q030200012;CENTRO CULTURAL BAÑOS Y BODEGAS
1000;Q030200013;CENTRO CULTURAL ALMACÉN
1000;Q030200014;CENTRO CULTURAL CAFETERÍA
1000;Q030200015;CENTRO CULTURAL SALA DE EXPOSICION
1000;Q030200016;CENTRO CULTURAL SALA EXPOSICION TEMP.P1
1000;Q030200017;CENTRO CULTURAL COORD.ADM Y PROYECTOS
1000;Q030200018;CENTRO CULTURAL AUDITORIO MENOR P4
1000;Q030200019;CENTRO CULTURALSALA.MEM.VELASCO IBARRA
1000;Q030200020;CENTRO CULTURAL TEATRO SIMURGH
1000;Q030200021;CENTRO CULTURAL COORD.COMUN. Y CONTA
1000;Q030200022;CENTRO CULTURAL COORD.EXPOSICIONES
1000;Q030200023;CENTRO CULTURAL SALA DE REUNIONES
1000;Q030201001;ARC. J.J. FLORES DIRECCIÓN
1000;Q030201002;ARC. J.J. FLORES SECRETARÍA
1000;Q030201003;ARC. J.J. FLORES SALA DE EXIBICIÓN
1000;Q030201004;ARC. J.J. FLORES PASILLOS Y HALLS
1000;Q030201005;ARC. J.J. FLORES SALA DE DOCUMENTOS
1000;Q030203001;MUSEO WEILBAUER SALA DE EXIBICIÓN
1000;Q030203002;MUSEO WEILBAUER MUSEO RESERVA  1
1000;Q030203003;MUSEO WEILBAUER OFICINAS
1000;Q030203004;MUSEO WEILBAUER BODEGA
1000;Q030203005;MUSEO WEILBAUER PASILLOS Y HALLS
1000;Q030204001;M. J.J. CAAMAÑO DIRECCIÓN
1000;Q030204002;M. J.J. CAAMAÑO SECRETARÍA
1000;Q030204003;M. J.J. CAAMAÑO RECEPCIÓN Y GUIA
1000;Q030204004;M. J.J. CAAMAÑO SALA DE EXIBICIÓN
1000;Q030204005;M. J.J. CAAMAÑO OFICINA 1
1000;Q030204006;M. J.J. CAAMAÑO OFICINA 2
1000;Q030204007;M. J.J. CAAMAÑO OFICINA 3
1000;Q030204008;M. J.J. CAAMAÑO AUD.JOSE MARÍA VARGAS
1000;Q030204009;M. J.J. CAAMAÑO SALA DE RESERVA
1000;Q030204010;M. J.J. CAAMAÑO TERRAZA RESERVA 1
1000;Q030204011;M. J.J. CAAMAÑO TERRAZA RESERVA 2
1000;Q030204012;M. J.J. CAAMAÑO PASILLO HALL P2-3
1000;Q030204013;M. J.J. CAAMAÑO BAÑOS Y BODEGAS
1000;Q030204014;M. J.J. CAAMAÑO ÁREA DE TRABAJO
1000;Q030204015;M. J.J. CAAMAÑO CUARTO ORGANICO
1000;Q030204016;M. J.J. CAAMAÑO CUARTO DE METALES
1000;Q030204017;M. J.J. CAAMAÑO OFICINA P4 CENTR.CULT
1000;Q030204018;M. J.J. CAAMAÑO SALA SERVIDORES
1000;Q030204019;M. J.J. CAAMAÑO SALA USO MULTIPLE
1000;Q030204020;M. J.J. CAAMAÑO AREA DE ARTE
1000;Q030204021;M. J.J. CAAMAÑO SALA AUDIOVISUALES
1000;Q030204022;M. J.J. CAAMAÑO AREA DE CURADO
1000;Q030204023;M. J.J. CAAMAÑO AREA TECNICA
