[2025-12-17 18:21:23.050][INF] The COM:HCCoreBase ver is 1.0.0.1, 2018_06_01. Async:1.
[2025-12-17 18:21:23.050][INF] The COM:Core ver is 6.1.3.5, 2019_09_26. Async:1.
[2025-12-17 18:21:23.050][INF] This HCNetSDK ver is 6.1.3.5 Ver 2019_09_26.
[2025-12-17 18:21:23.054][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCVoiceTalk.dll] succ
[2025-12-17 18:21:23.054][INF] AbilityAnalyze---Init-- start
[2025-12-17 18:21:23.054][ERR] AbilityAnalyze---open zip package error, package path C:/xampp/htdocs/corsinf/lib/SDKDevices/hikvision/HCNetSDK/LocalXml.zip
[2025-12-17 18:21:23.054][INF] The COM:VoiceTalk ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.055][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCGeneralCfgMgr.dll] succ
[2025-12-17 18:21:23.055][INF] The COM:HCGeneralCfgMgr ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.056][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCPlayBack.dll] succ
[2025-12-17 18:21:23.056][INF] The COM:HCPlayback ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.057][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCIndustry.dll] succ
[2025-12-17 18:21:23.057][INF] The COM:HCIndustry ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.057][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCDisplay.dll] succ
[2025-12-17 18:21:23.057][INF] The COM:HCDisplay ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.059][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCPreview.dll] succ
[2025-12-17 18:21:23.059][INF] The COM:Preview ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.059][DBG] load full path[C:\xampp\htdocs\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCAlarm.dll] succ
[2025-12-17 18:21:23.060][INF] The COM:HCAlarm ver is 6.1.3.5, 2019_09_26.
[2025-12-17 18:21:23.060][DBG] CLongConfigSessionEx::start succ [userid:0][command:2560]
[2025-12-17 18:21:23.123][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.123][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.123][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.123][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.123][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.149][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.150][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.150][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.151][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.152][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.165][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.172][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.172][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.173][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.197][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.197][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.210][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.239][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.239][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.262][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.262][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.262][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.262][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.282][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.282][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.282][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.282][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.288][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.292][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.306][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.306][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.314][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.314][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.317][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.326][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.333][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.334][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.355][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.363][DBG] callback [2]data len[1300].
[2025-12-17 18:21:23.378][DBG] callback [2]data len[1300].
