[2025-10-27 11:59:12.435][INF] The COM:HCCoreBase ver is 1.0.0.1, 2018_06_01. Async:1.
[2025-10-27 11:59:12.435][INF] The COM:Core ver is 6.1.3.5, 2019_09_26. Async:1.
[2025-10-27 11:59:12.435][INF] This HCNetSDK ver is 6.1.3.5 Ver 2019_09_26.
[2025-10-27 11:59:13.180][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCVoiceTalk.dll] succ
[2025-10-27 11:59:13.180][INF] AbilityAnalyze---Init-- start
[2025-10-27 11:59:13.180][ERR] AbilityAnalyze---open zip package error, package path C:/Apache24/htdocs/php81/corsinf/lib/SDKDevices/hikvision/HCNetSDK/LocalXml.zip
[2025-10-27 11:59:13.180][INF] The COM:VoiceTalk ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:13.633][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCGeneralCfgMgr.dll] succ
[2025-10-27 11:59:13.649][INF] The COM:HCGeneralCfgMgr ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:14.071][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCPlayBack.dll] succ
[2025-10-27 11:59:14.071][INF] The COM:HCPlayback ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:14.508][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCIndustry.dll] succ
[2025-10-27 11:59:14.508][INF] The COM:HCIndustry ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:14.805][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCDisplay.dll] succ
[2025-10-27 11:59:14.805][INF] The COM:HCDisplay ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:15.227][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCPreview.dll] succ
[2025-10-27 11:59:15.227][INF] The COM:Preview ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:15.227][DBG] load full path[C:\Apache24\htdocs\php81\corsinf\lib\SDKDevices\hikvision\HCNetSDK\HCNetSDKCom/HCAlarm.dll] succ
[2025-10-27 11:59:15.227][INF] The COM:HCAlarm ver is 6.1.3.5, 2019_09_26.
[2025-10-27 11:59:15.227][DBG] CLongConfigSessionEx::start succ [userid:0][command:2560]
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.295][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.307][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.329][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.329][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.338][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.338][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.354][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.370][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.370][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.370][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.390][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.423][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.423][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.433][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.457][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.461][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.461][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.486][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.486][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.495][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.495][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.528][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.549][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.549][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.558][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.558][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.558][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.558][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.558][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.589][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.589][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.589][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.589][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.610][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.610][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.610][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.610][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.618][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.618][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.618][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.618][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.618][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.639][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.639][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.639][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.639][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.639][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.652][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.652][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.652][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.652][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.670][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.670][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.670][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.670][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.680][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.696][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.711][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.711][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.711][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.711][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.738][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.772][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.774][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.803][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.805][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.805][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.805][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.805][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.825][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.840][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.840][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.840][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.840][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.859][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.859][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.859][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.868][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.887][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.901][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.901][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.901][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.901][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.901][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.934][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.934][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.934][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.934][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.934][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.951][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.951][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.951][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.965][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.965][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.965][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.965][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.982][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [2]data len[1300].
[2025-10-27 11:59:15.994][DBG] callback [0]data len[4].
[2025-10-27 11:59:15.994][DBG] callback status[1000].
[2025-10-27 11:59:15.994][INF] [CLongLinkCtrlPrivate::RecvThreadFunc] RecvThreadFunc EXIT, this=0x3b198448, linkid=388d3f14
[2025-10-27 11:59:16.064][INF] [0]CLongConfigSession::Stop in
[2025-10-27 11:59:16.064][INF] COM_Logout[0][1]
[2025-10-27 11:59:16.064][DBG] CUserMgr::UnRegisterHeartProxy[0]
[2025-10-27 11:59:16.477][INF] COM_Logout[0][1]
[2025-10-27 11:59:16.494][INF] CTransUnitMgr::UnloadTransUnitLib
