CÓDIGO SAP;DESCRIPCIÓN SAP
10; ACER                                                                                                 
11; ACKER                                                                                                
12; ACME                                                                                                 
13; ACRIMETAL                                                                                            
14; ADEC                                                                                                 
15; POWERMAX                                                                                             
16; ADLER                                                                                                
17; ADVAN                                                                                                
18; ADVANTAGE                                                                                            
19; ADVENT                                                                                               
20; AESCULAP                                                                                             
21; AGA                                                                                                  
22; AGIPGAS                                                                                              
23; AIJON                                                                                                
24; IPHONE                                                                                               
25; AIR FLOW                                                                                             
26; AIWA                                                                                                 
27; ALADDIN                                                                                              
28; ALAME ACEIR                                                                                          
29; ALBA                                                                                                 
30; ALDE CIENTIFIC                                                                                       
31; ALIS                                                                                                 
32; ALL STATE SECURITY                                                                                   
33; ALOE SCIENTIFIC                                                                                      
34; STIHL                                                                                                
35; ALP                                                                                                  
36; CHERRY                                                                                               
37; ALTC                                                                                                 
38; ALTEC                                                                                                
39; ALTON                                                                                                
40; AMBU                                                                                                 
41; AMEREX                                                                                               
42; AMERICAN OPTICAL                                                                                     
43; AMERICAN SAFE                                                                                        
44; AMES                                                                                                 
45; AMME                                                                                                 
46; AMPROBE                                                                                              
47; AMSECO                                                                                               
48; ANCHOR                                                                                               
49; UWE                                                                                                  
50; TOWER                                                                                                
51; SALICRU ELECTRONICS                                                                                  
52; API CLINICON                                                                                         
53; APOLDA                                                                                               
54; APOLLO                                                                                               
55; APPLE                                                                                                
56; APPLE - MACINTOSH                                                                                    
57; APPLE IMAC                                                                                           
58; APPLE IMAGE WRITER II                                                                                
59; APPLE STYLE WRITER II                                                                                
60; AQ-TRONIC                                                                                            
61; ARADORA                                                                                              
62; ARCHER                                                                                               
63; ARDOR                                                                                                
64; ARILLUX                                                                                              
65; ARISTON                                                                                              
66; ARMY                                                                                                 
67; ARO                                                                                                  
68; ADMIRAL                                                                                              
69; ARTEPRACTICO                                                                                         
70; ARTHUR H THOMAS CO                                                                                   
71; ARTILUZ                                                                                              
72; ARTIMETAL                                                                                            
73; ASANTE                                                                                               
74; ASIA MOTORS COSMOS                                                                                   
75; ASSEMBLY PRODUCTS                                                                                    
76; AST                                                                                                  
77; ASTRA DE LUXE                                                                                        
78; ATLAS                                                                                                
79; ATRONIC                                                                                              
80; ATU                                                                                                  
81; AUDIO PRO                                                                                            
82; AUTOCRIT                                                                                             
83; AICO                                                                                                 
84; AYA                                                                                                  
85; BACKPACK                                                                                             
86; BADGER                                                                                               
87; BAISCH                                                                                               
88; BALAZMATIC                                                                                           
89; BALEY                                                                                                
90; RUBBERMAID                                                                                           
91; BANDELIN                                                                                             
92; BARNSTEAD                                                                                            
93; IGLOO                                                                                                
94; BARROQUEMA                                                                                           
95; BAUER PG                                                                                             
96; BAUSCH LOMB                                                                                          
97; BAVER                                                                                                
98; BEAM MATIC                                                                                           
99; BECKMAN                                                                                              
100; BELL HOWELL                                                                                          
101; BELLANDH                                                                                             
102; BELLOTA                                                                                              
103; BELTONE                                                                                              
104; BELTRON                                                                                              
105; BENNZ                                                                                                
106; BENTLEY                                                                                              
107; BESELER                                                                                              
108; BESELER FRIWT                                                                                        
109; BEST KEYBOARD                                                                                        
110; BETAMOVIE                                                                                            
111; BIAMP                                                                                                
112; BICOM                                                                                                
113; BIG                                                                                                  
114; BILORA CON                                                                                           
115; BINCO                                                                                                
116; BIO RAD                                                                                              
117; BIRD   O   PHIPPS & BIRD                                                                             
118; BIRMINGHAM                                                                                           
119; B&K PRECISION                                                                                        
120; BLACK&DECKER                                                                                         
121; BLACKOUT BUST                                                                                        
122; BLUE M                                                                                               
123; BOCA MODEM                                                                                           
124; BODINE                                                                                               
125; BOECO                                                                                                
126; BOEHRINGER MANNHEIM                                                                                  
127; BOEKEL                                                                                               
128; BOGER                                                                                                
129; BOLEX SP8                                                                                            
130; BONDOMATIC                                                                                           
131; BOOK BINDER                                                                                          
132; ANNOVI REVERBERI                                                                                     
133; BOSE                                                                                                 
134; BOSKAND                                                                                              
135; BOSTON                                                                                               
136; BOUYER                                                                                               
137; BOZEMAN                                                                                              
138; BRACGSTRATON                                                                                         
139; BRAILKING                                                                                            
140; BRAINARD KILMAN                                                                                      
141; BRAND                                                                                                
142; BRETFORD                                                                                             
143; EPSON FX-2180                                                                                        
144; BRICE                                                                                                
145; BRIGGS&STRATON                                                                                       
146; BRISTOLINE                                                                                           
147; BROIL KING                                                                                           
148; BROTHER                                                                                              
149; BTC                                                                                                  
150; BUCHI                                                                                                
151; BUHL                                                                                                 
152; BUL CENTER                                                                                           
153; BUNSEN                                                                                               
154; BURDICK                                                                                              
155; DUMONT                                                                                               
156; C.H. STOELTING COMPANY                                                                               
157; CABINA                                                                                               
158; CAI                                                                                                  
159; CALCOMP                                                                                              
160; CALIFONE                                                                                             
161; CAMBERRA                                                                                             
162; CAMPBELL HAUSFELD                                                                                    
163; CAMPEADOR                                                                                            
164; CANON                                                                                                
165; CANON INSTRUMENTS                                                                                    
166; CAPERT                                                                                               
167; CAPITOL                                                                                              
168; CARAMATE                                                                                             
169; CARDINAL DETE                                                                                        
170; CARL ZEISS                                                                                           
171; CARVER                                                                                               
172; CASIO                                                                                                
173; CASTLE                                                                                               
