Programa de financiaciÛn;Entidad CP;DenominaciÛn;DescripciÛn;Validez de;Validez a;Fecha de expiraciÛn
QAUF0001;PUCE;COSTO Y VENTA DE PRO;COSTO Y VENTA DE PRODUCTOS Y SERVICIOS;01/01/1900;31/12/9999;31/12/9999
QAUF0002;PUCE;TALLER DE CULTURA;TALLER DE CULTURA;01/01/1900;31/12/9999;31/12/9999
QAUF0003;PUCE;USO DE INTERNET Y EQ;USO DE INTERNET Y EQUIPOS DE COMPUTACION;01/01/1900;31/12/9999;31/12/9999
QAUF0015;PUCE;CONFERENCIA DR. JEAN;CONFERENCIA DR. JEAN KNIPPER;01/01/1900;31/12/2019;31/12/2019
QAUF0016;PUCE;AUTORETRATO, ESPEJO;AUTORETRATO, ESPEJO Y REFLEXION;01/01/1900;31/12/2019;31/12/2019
QAUF0017;PUCE;TECNOLOGIA Y ELECTRO;TECNOLOGIA Y ELECTRONICA PARA EL ARTE CO;01/01/1900;31/12/2019;31/12/2019
QAUF0018;PUCE;SENACYT INVENTARIO;SENACYT INVENTARIO;01/01/1900;31/12/9999;31/12/9999
QAUF0019;PUCE;SENACYT RESETA;SENACYT RESETA;01/01/1900;31/12/9999;31/12/9999
QAUF0020;PUCE;MOVILIDAD HUMANA Y R;MOVILIDAD HUMANA Y REFUGIO;01/01/1900;31/12/2019;31/12/2019
QAUF0021;PUCE;ANALISIS DE CEMENTOS;ANALISIS DE CEMENTOS Y AGLUTINANTES;01/01/1900;31/12/9999;31/12/9999
QAUF0022;PUCE;FORMACION DOCENTE MA;FORMACION DOCENTE MARZO-AGOSTO 2018;01/01/1900;31/12/9999;31/12/9999
QAUF0023;PUCE;PERFECCIONAMIENTO DO;PERFECCIONAMIENTO DOCENTE SEPTIEMBRE - F;01/01/1900;31/12/9999;31/12/9999
QAUF0024;PUCE;CAPACITACIONES 2018;CAPACITACIONES 2018 SERVICIO COMUNITARIO;01/01/1900;31/12/9999;31/12/9999
QAUF0025;PUCE;ESCRITURA BASICA EN;ESCRITURA BASICA EN INGLES;01/01/1900;31/12/2019;31/12/2019
QAUF0026;PUCE;REFORZAMIENTO DE CRI;REFORZAMIENTO DE CRITERIOS ESTRUCTURALES;01/01/1900;31/12/2019;31/12/2019
